Y	AcctBal	DuraCred	PrevPay	CredAmnt	Savings	CurrEmpl	Gender	Age	House
1	0	18	1	1049	0	0	0	21	0
1	0	9	1	2799	0	0	0	36	0
1	0	12	1	841	1	1	0	23	0
1	0	12	1	2122	0	0	0	39	0
1	0	12	1	2171	0	0	0	38	0
1	0	10	1	2241	0	0	0	48	0
1	0	8	1	3398	0	1	0	39	0
1	0	6	1	1361	0	0	0	40	0
1	1	18	1	1098	0	0	0	65	0
1	0	24	1	3758	1	0	0	23	0
1	0	11	1	3905	0	0	0	36	0
1	0	30	1	6187	1	1	1	24	0
1	0	6	1	1957	0	1	0	31	0
1	0	48	1	7582	1	0	0	31	0
1	0	18	1	1936	1	1	1	23	0
1	0	6	1	2647	1	0	0	44	0
1	0	11	1	3939	0	0	0	40	0
1	0	18	1	3213	1	0	1	25	0
1	0	36	1	2337	0	1	0	36	0
1	1	11	1	7228	0	0	0	39	0
1	0	6	1	3676	0	0	0	37	0
1	0	12	1	3124	0	0	0	49	0
0	0	36	1	2384	0	0	0	33	0
1	0	12	1	1424	0	1	0	26	0
1	0	6	1	4716	1	0	0	44	0
1	0	11	1	4771	0	1	0	51	0
1	0	12	1	652	0	1	0	24	0
1	0	9	1	1154	0	1	0	37	0
1	1	15	1	3556	1	0	0	29	0
1	0	42	1	4796	0	1	0	56	1
1	0	30	1	3017	0	1	0	47	0
1	1	36	1	3535	0	1	0	37	0
1	1	36	1	6614	0	1	0	34	0
1	1	24	1	1376	1	1	0	28	0
1	0	15	1	1721	0	0	0	36	0
1	0	6	1	860	0	1	0	39	0
1	1	12	1	1495	0	1	0	38	0
1	1	12	1	1934	0	1	0	26	0
1	1	18	1	3378	1	0	0	31	0
1	1	24	1	3868	0	1	0	41	0
1	1	12	1	996	1	1	0	23	0
1	0	24	1	1755	0	1	0	58	0
1	1	18	1	1028	0	0	0	36	0
1	0	24	1	2825	1	1	0	34	0
1	0	18	1	1239	1	0	0	61	1
0	0	18	1	1216	0	0	0	23	0
1	1	24	1	1258	0	1	0	25	0
0	1	18	1	1864	1	0	0	30	0
1	1	24	1	1474	1	0	1	33	0
1	0	24	1	1382	1	1	0	26	0
1	1	12	1	640	0	0	0	49	0
1	0	36	1	3919	0	0	0	23	0
1	1	9	1	1224	0	0	0	30	0
1	1	12	1	2331	1	1	0	49	0
1	1	24	1	6313	1	1	0	41	0
1	0	12	1	385	0	1	0	58	0
1	1	12	1	1655	0	1	0	63	0
1	0	15	1	1053	0	0	1	27	0
1	1	21	1	3160	1	1	0	41	0
1	1	36	1	3079	1	0	0	36	0
1	1	12	1	1163	1	0	0	44	0
1	1	24	1	2679	0	0	0	29	0
1	1	48	1	3578	1	1	0	47	0
1	1	36	1	10875	0	1	0	45	0
1	0	12	1	1344	0	0	0	43	0
1	1	6	1	1237	1	0	0	27	0
1	1	12	1	3077	0	0	0	52	0
1	1	24	1	2284	0	1	0	28	0
1	0	12	1	1567	0	0	0	22	0
1	1	24	1	2032	0	1	0	60	1
1	0	21	1	2745	1	1	0	32	0
1	1	30	1	1867	1	1	0	58	0
1	1	36	1	2299	1	1	0	39	0
1	1	24	1	929	1	1	0	31	0
1	0	12	1	3399	1	1	0	37	0
1	0	9	1	2030	1	1	0	24	0
1	1	21	1	3275	0	1	0	36	0
1	1	24	1	1940	1	1	0	60	0
1	0	21	1	1602	0	1	1	30	0
1	1	15	1	1979	1	1	0	35	0
1	1	24	1	2022	0	0	0	37	0
1	1	36	1	3342	1	1	0	51	0
1	0	18	1	5866	1	0	0	30	0
1	0	15	1	2360	1	0	0	36	0
1	1	15	1	1520	1	1	0	63	0
1	0	12	1	3651	1	0	0	31	0
1	1	24	1	2346	0	1	0	35	0
